link;x;y;drtVehicles
-68455990;801383.9450000001;5824358.640000001;2
76212438;796628.325;5827964.67;2
-68455992;801270.845;5824431.855;2
1122600949;800981.415;5825883.6850000005;1
1102675942;794017.855;5824959.765000001;1
-29400740#1;793737.06;5828803.395;2
-824921529#3;798056.62;5824980.845;4
1096709561;799985.905;5829004.055;1
-777345614;801061.625;5823173.115;2
1100785762#0;791341.995;5826075.109999999;2
-1057576180#1;798869.12;5825366.234999999;2
-1057576180#0;798718.62;5825367.525;4
-28497529#2;796043.38;5823434.025;3
-142018578;799020.78;5825484.37;2
-203910786;793764.38;5828996.074999999;2
-49677300#2;802069.835;5826906.055;1
208089048#3;793459.3400000001;5824527.73;1
-134443454#0;794387.61;5824570.825;1
-43402009;792898.25;5824420.52;1
150540946#0;794987.33;5823875.494999999;1
-466318949;801748.49;5824607.79;2
318888126;794504.3049999999;5825468.035;1
-813203680;801883.7050000001;5824638.15;1
-4480580#1;791328.1599999999;5825662.995;5
-82652406;799798.7050000001;5827786.54;1
-238119551;800293.015;5824120.51;11
340606520;800897.355;5829191.68;1
-755551646#0;798824.52;5827427.6850000005;1
-24320722#0;792263.745;5826364.125;1
-203910774;793393.365;5828529.91;2
147646826;800097.395;5829119.695;2
-346234392#2;797634.9450000001;5824738.85;3
-142018575;799834.485;5826540.68;1
1091626545#0;800046.4099999999;5830456.335000001;1
-437325054#2;797948.0149999999;5828467.355;1
-945954404;800084.9650000001;5823256.3149999995;2
-945954405;800176.24;5823280.615;1
-27815725#0;796918.38;5829172.42;2
-945954402;800350.66;5823323.055;1
-4618777#2;796038.925;5825738.859999999;1
-48802137;802238.355;5823110.745;1
-119914238#0;797471.135;5829962.09;2
-9657820#0;796882.4650000001;5826771.115;1
-4377122;794313.935;5827393.52;7
-4495307#2;792125.605;5826562.09;8
-84867842;800463.53;5824558.5;1
-129285626#1;803055.6599999999;5826682.175;2
-4597029;797120.0700000001;5830079.789999999;3
-129285626#0;802985.2749999999;5826765.555;2
-4370500;791677.16;5825302.18;2
-4068142;802924.885;5827357.1;1
-141128588;791960.315;5825028.369999999;2
68711085;796639.46;5827800.715;1
-1052675127;799703.645;5829773.21;1
61423422#0;793997.91;5824089.6;1
-370361656;798915.61;5830384.09;1
-671403217;797059.48;5828823.835;1
-4606218#0;798747.87;5829770.88;2
-1089751350;797263.935;5825136.055;3
-1017969548;796898.685;5830605.085;3
-492643593#0;795627.69;5827855.78;1
203910322;800654.7849999999;5822544.16;2
433868455#0;795018.105;5827214.41;1
-4437116;792799.175;5824693.455;1
327518240;797540.7849999999;5828193.015000001;1
-4437117;792798.245;5825172.18;5
-82658674#3;799336.0700000001;5827644.335;1
-4534558#0;802772.3200000001;5827573.695;1
-51167934#0;798105.185;5828387.8100000005;1
-51167934#1;798074.125;5828285.635;1
-492643593#2;795837.1950000001;5828042.625;3
-1101819487;799365.405;5825530.54;6
-1002399795;801527.6950000001;5822544.665;1
-32206247;800423.465;5823820.01;1
-4612695#0;799075.365;5826173.4350000005;4
-493103526;799576.95;5826661.62;3
-27600362;795123.845;5824568.324999999;2
