link;x;y;drtVehicles
-4684161#4;798628.47;5815323.595000001;1
963078048#0;798542.86;5831797.56;1
29616520#0;793699.505;5815774.305;1
-4637744;798791.685;5833350.535;2
-4684161#2;798601.575;5815001.67;1
-1052041056;815703.76;5814427.23;3
-435715671;797694.425;5823162.255000001;1
-866096146;793656.48;5838838.875;1
-16239347#0;802134.67;5836694.87;1
168889126#5;791800.58;5826954.25;1
-44212665#1;799901.765;5836435.865;1
-24461851#1;793280.17;5822591.335;1
-19828559#3;798698.89;5820125.045;1
-24403109#2;787403.3049999999;5835474.26;30
-38198840;797532.95;5818229.945;1
-172561914#2;809262.24;5833082.9350000005;1
25217949#0;796150.29;5830237.335;1
-22874509#4;789053.88;5816377.775;2
463139369;791404.2649999999;5830308.505;3
-23739046#0;794603.815;5815436.65;1
-1083614744#2;801158.06;5828529.465;1
-155605280;801599.155;5823895.67;1
-1085777065;786716.81;5816476.17;3
-551258172;806874.635;5816657.99;3
123485306;786880.56;5830127.234999999;1
-144884824#1;801097.36;5834806.885;1
-144884824#6;801098.395;5834143.625;1
-31579587#18;812444.215;5824782.279999999;1
-107667977;785521.4850000001;5837742.005;2
-949605669#2;798910.355;5832649.109999999;1
-144884824#5;801106.655;5834355.395;3
-148056734;793278.6599999999;5817451.935;1
782128179;800655.125;5823399.395;1
332306828#2;788760.1000000001;5827321.390000001;1
-949515802;803227.325;5819749.645;1
-354907570#0;796313.655;5820438.65;4
-365890548;806739.9950000001;5825482.970000001;1
-176711845;805262.845;5817997.28;1
-23862977;810098.29;5833986.95;1
-4776663;798808.6100000001;5834775.725;2
-7617511#5;807676.1699999999;5828289.029999999;2
-1125989632;805160.5800000001;5828432.385;1
-741106138;791704.865;5822774.654999999;2
-627590520;785674.74;5838290.3149999995;1
-6009205#1;809017.665;5834290.63;1
120232799;787658.7849999999;5821617.5649999995;4
-4764691;798354.71;5834680.49;3
-46509265#1;800007.0700000001;5835345.875;1
-141220979#1;801131.4099999999;5831567.835;1
152046230;809056.56;5821568.23;7
-4787318;800874.355;5831502.4;1
-26229276;806662.2050000001;5831023.445;2
110335777#0;806931.2;5823384.949999999;3
-26229278;806551.735;5830808.465;1
64206805#6;792683.18;5832786.665;1
-645343612;795941.7250000001;5829292.015000001;1
-151742423#0;807009.83;5817299.53;1
-24210218;814309.335;5813353.82;3
-270442656#0;780356.53;5821768.065;1
-151742423#1;807154.59;5817413.665;1
-270442656#1;780287.145;5821908.85;2
-161677842#2;789485.495;5833757.449999999;1
-974592529;795663.95;5837146.5649999995;2
245852953;798133.8400000001;5835897.665;1
-152258360#7;819525.37;5820535.895;2
-152258360#4;819731.355;5820558.215;1
-152258360#0;820250.315;5820610.925;1
-954558795#0;806579.09;5830468.66;1
-610561103#0;796890.12;5835917.145;1
-152258360#1;820060.35;5820591.09;1
178253961#1;787800.395;5830574.404999999;1
-142572168#5;794561.83;5825337.119999999;2
-610561103#4;796495.125;5836357.699999999;1
-71001582#3;792841.865;5820016.970000001;2
-179404218#1;790680.475;5817973.1899999995;1
-42816235;796957.565;5833808.12;1
-179404218#2;790634.4299999999;5818105.01;1
-8100317#2;791793.665;5834312.0;2
-8100317#3;791988.885;5834082.54;2
-27604363#0;809724.885;5826072.415;1
-147432272;794733.9650000001;5832855.779999999;1
-5000572#4;784140.1950000001;5829283.7;2
-140964905#2;808726.88;5819414.695;1
-328253844;808108.395;5824608.4350000005;2
4396236#1;794318.2949999999;5824917.74;1
-328253843;814200.6200000001;5821065.21;1
4581855#0;787412.875;5829355.0600000005;5
-152177244#2;799532.55;5812529.365;2
23851930;798974.585;5827469.869999999;1
-692169747;809912.895;5821698.27;1
-4764677;798119.015;5834215.4;1
-24381597;780167.36;5833814.325;5
-152466390;808738.875;5817559.960000001;1
-37342200#1;812965.4099999999;5828911.32;1
-202428439#0;802336.74;5838582.164999999;1
43063527;807650.685;5822193.705;7
-152466396;808728.77;5817107.65;1
-4776656;798996.7350000001;5834863.62;1
-4783452#2;802842.87;5832631.215;1
-4783452#1;802848.415;5832529.49;1
-1085546004#1;789907.7050000001;5824199.575;1
-601343160;805905.76;5822711.095000001;2
-16885912#0;789219.09;5839875.3149999995;1
