Stop ID,Link ID,X,Y
103689,103689,4593746.295244841,5821947.833330613
60703,60703,4591723.485671644,5822328.510009191
156561,156561,4598125.0845125755,5816438.1695266515
pt_39206,pt_39206,4592654.27937242,5819387.788609355
27369,27369,4596062.950171714,5820417.1156460885
39130,39130,4597311.541107244,5817146.9641372645
7354,7354,4597658.753478688,5817526.408444191
152989,152989,4590505.732487413,5818874.136718926
145593,145593,4593745.832692418,5820217.055980475
44485,44485,4592588.932562261,5817858.387406162
8213,8213,4589943.121292146,5817928.202284792
125342,125342,4598890.219921158,5822255.863223563
22168,22168,4595932.607394967,5822949.8064483525
pt_40348,pt_40348,4594454.258806558,5824457.356107416
11933,11933,4599658.24392376,5820508.893509219
531,531,4594997.2944375165,5818216.900101312
103674,103674,4589850.481069522,5820017.9507541405
61150,61150,4593688.201469984,5817344.116021887
104168,104168,4587709.270033358,5821442.31120224
14270,14270,4596220.281482901,5822284.9372307975
92388,92388,4589508.227674739,5819304.7172522815
5492,5492,4591178.030025193,5819943.818297583
65008,65008,4599028.193207702,5819035.977446328
41231,41231,4597808.3876415845,5817173.97933989
60508,60508,4590394.781168253,5821580.424826972
72997,72997,4588505.89494437,5821432.31770118
93219,93219,4587134.73377125,5820325.356602531
122299,122299,4598464.282303161,5819253.0534930555
109574,109574,4588131.989813523,5820841.792679331
76195,76195,4588374.832751531,5818815.328113582
160525,160525,4591518.571097823,5823142.731531559
123026,123026,4596395.385392355,5819779.011003516
pt_39502,pt_39502,4595623.255627777,5819277.347583714
45914,45914,4591364.993811905,5818530.080026558
pt_43416,pt_43416,4595481.265611704,5822291.333756692
77391,77391,4590506.389432186,5818862.82888416
112932,112932,4598693.720178399,5819923.438339612
3206,3206,4589586.581576036,5821111.991005435
76799,76799,4595351.1907288935,5818795.498314814
pt_39351,pt_39351,4597983.3200798305,5822318.340400042
93248,93248,4595955.582945801,5824518.674421504
74520,74520,4591769.7006114945,5819448.265735094
149791,149791,4595197.661417725,5822772.948211653
104916,104916,4597896.589251182,5821586.90634564
147413,147413,4588819.106000817,5819470.728831766
55180,55180,4588754.58583319,5822208.758552714
105743,105743,4599272.441932523,5820205.197009764
110674,110674,4595805.591170561,5821277.259403613
84679,84679,4591657.898287943,5818780.163611603
144211,144211,4591525.07746055,5822849.242900439
86516,86516,4594024.78388535,5818496.571203106
pt_5571,pt_5571,4591701.287160029,5822126.325355876
123122,123122,4595098.521209945,5824094.525233684
143292,143292,4598005.9986319365,5820185.092383158
14301,14301,4593223.408685082,5820564.524115583
10172,10172,4598167.4440167565,5819921.415233933
8462,8462,4593657.800873606,5824384.347217408
66294,66294,4590398.398725974,5820840.941248869
134304,134304,4598704.775014974,5816621.442313833
10463,10463,4596466.53597732,5824162.905557921
30366,30366,4593744.982562379,5817062.51917766
28177,28177,4595232.961671917,5821042.2683923775
30747,30747,4595994.91147396,5821603.365098515
pt_39703,pt_39703,4588724.503523141,5820624.666246654
62494,62494,4590388.783048376,5817239.907745554
11089,11089,4593615.468614092,5818062.965690294
130711,130711,4588644.478717455,5819560.32191006
48134,48134,4595099.551443688,5820095.062912975
85059,85059,4594335.59927194,5821639.5999749275
52863,52863,4593367.354028746,5823573.885006446
34213,34213,4598298.1152388835,5822416.811134421
pt_2323,pt_2323,4593997.281784818,5818344.318275526
153230,153230,4595417.659355931,5821894.339152635
74651,74651,4589335.347732371,5821674.071150296
51643,51643,4589189.610790538,5819411.345566181
73007,73007,4587949.759049808,5821053.19689492
138533,138533,4590506.117507663,5820838.609428076
31297,31297,4590370.670051633,5823072.0395658575
119306,119306,4598366.556867827,5820353.257827905
33556,33556,4597677.258308347,5823144.273353106
