link;x;y;drtVehicles
-195337819;800332.085;5825943.775;2
-153692984;797641.315;5828871.3100000005;2
-155605298;800383.235;5824070.6899999995;2
-645183213;798278.5549999999;5830981.800000001;1
-1083507345;802001.19;5828002.555;2
-23859719#2;799876.655;5826245.35;1
-1107953483;800263.7549999999;5828554.555;1
-1108161978;793808.815;5827707.275;2
-4615782#1;801453.415;5828508.16;1
60825553#0;797762.29;5823890.4350000005;1
-16571799#0;798543.0900000001;5829181.955;1
-4685868;802799.345;5827253.535;1
-435715670;797684.625;5823377.16;1
-32977014;800197.315;5825950.154999999;1
1100788309#2;792898.46;5825528.695;1
168889126#7;791767.415;5827156.01;1
-152343393#0;795370.59;5824748.865;1
-16571799#1;798629.0800000001;5829362.66;2
-4618816#1;796084.225;5824529.915;1
-4618816#0;796198.415;5824558.57;1
333966516#0;799642.0;5830267.4399999995;2
-25179835#4;791808.5549999999;5825397.15;1
-153692996;797328.49;5829122.385;3
-1107953491;800376.88;5828781.98;3
-25152250#2;796049.14;5823320.67;1
140336721#0;794882.355;5828462.09;1
-155605284;800586.085;5824502.075;1
433870251;795004.6100000001;5827121.85;1
-25179835#0;791634.185;5825476.0600000005;1
-1083614744#2;801158.06;5828529.465;1
-155605280;801599.155;5823895.67;1
-168978745;801786.0800000001;5823770.49;2
-155594998#1;800628.93;5822229.795;2
-69992975#0;801474.385;5824709.645;2
-168978747;802056.175;5823849.205;1
-1092194681;792844.4299999999;5825635.835;4
1102369967#1;799026.26;5827076.755;1
-1120678942;796987.69;5830833.885;12
-1067296925;797816.915;5829573.125;3
195344060;800168.865;5826431.46;2
782128179;800655.125;5823399.395;1
1102407839#0;793763.18;5826310.71;1
157658305;793949.155;5826357.18;3
-4396528;797360.8999999999;5826485.76;5
1020548406;799464.245;5828768.5600000005;1
-684019402;794746.32;5825576.045;1
-169658770;794244.645;5827115.76;1
85129346#2;793634.015;5823953.615;1
-1009125109;802008.36;5823373.395;1
-43974606;792956.48;5823758.67;1
335543103;798256.5800000001;5823960.87;1
4410417#0;792092.66;5827842.795;3
-649959246#3;796579.7949999999;5827881.835;1
-508467373;791894.5149999999;5826776.38;2
-4437114#1;792831.845;5824926.095;2
-188240629#1;796774.355;5828036.904999999;1
-8084122#1;801426.49;5829440.76;1
-1101063584#1;793569.0449999999;5829127.574999999;1
4401920#0;797746.9550000001;5825539.859999999;1
-32555845#2;801064.8200000001;5827100.5;1
-4583383#0;794697.73;5824974.415;1
4045243#0;802286.865;5827721.18;5
-25376552#2;802176.235;5827134.52;2
-1101200868#2;791732.69;5827980.065;1
59636543;803232.4;5827636.109999999;1
-237716438#1;796006.665;5829463.8149999995;1
30184955#0;799963.565;5825476.96;1
-153692976;797793.2250000001;5828698.34;2
-21844063#3;796318.795;5824010.654999999;2
-1054785298#4;800245.25;5829619.640000001;4
1081624481;802366.735;5826282.54;1
-93628057#1;801441.875;5828826.79;1
-60825556;799612.22;5823740.11;57
-25008068;800508.8300000001;5827323.029999999;1
-60825557;796407.56;5824786.75;1
-569997526;794871.0800000001;5826684.465;3
-4372491#5;791503.155;5824898.305;1
4446500;790617.6799999999;5825988.27;1
-1054783030;801258.65;5827181.484999999;6
-209264199#0;800584.6;5824042.859999999;4
-142572168#2;794598.94;5825469.48;2
-4613295#0;799069.335;5828600.62;1
-1108260145;801559.875;5828563.335;1
-4613295#1;799091.825;5828737.465;1
-142572168#5;794561.83;5825337.119999999;1
-4763450#2;792321.8049999999;5828336.555;2
-31970737#1;796254.775;5828329.449999999;1
-19002363#4;798924.415;5828534.475;1
764024738#0;797778.2;5823736.0649999995;4
-4600069;794824.62;5824966.21;2
-1112137515;793301.72;5825876.065;3
-548612558#2;795582.09;5824244.16;1
4685636#0;801755.165;5828724.715;2
318886186#0;794324.975;5825426.07;1
61816617#0;795759.825;5828192.92;1
53357388#0;798875.28;5824623.39;1
4525724#0;795050.065;5824921.725;1
-905940428;800142.995;5822761.925000001;5
23851930;798974.585;5827469.869999999;1
-1081624489;802375.325;5826055.165;2
163385719;794077.7649999999;5826379.8149999995;5
42103021;797610.33;5828389.665;1
-4490384#1;792600.345;5825616.55;2
-1017969550;796977.735;5830535.475;1
24916011;793539.81;5829092.01;1
67713452;796542.625;5827813.8149999995;1
-4597033;797506.63;5830576.73;2
-1006839432#1;800610.785;5822304.0649999995;3
-24594558;793331.365;5824342.6850000005;3
-67553868#3;796006.0349999999;5825048.155;1
-1107180851#6;795452.5349999999;5823930.915;1
-39487910;796036.05;5828546.55;3
-4611775#1;798159.41;5826227.529999999;2
-25278674#4;796780.02;5830381.475;1
-1093597996;802519.84;5828500.26;1
